endReplaces,The subject entity no longer replaces the object entity
startSponsor,The subject entity started being sponsored by the object entity
sponsor,The subject entity is sponsored by the object entity
endSponsor,The subject entity is no longer sponsored by the object entity
startSportNumber,The subject entity's sport number started being the object entity
sportNumber,The subject entity's sport number is the object entity
endSportNumber,The subject entity's sport number no longer is the object entity
startSpouse,The subject entity started a marriage with the object entity
spouse,The subject entity is married to the object entity
endSpouse,The subject entity ended their marriage with the object entity
startStudentOf,The subject entity started being a student of the object entity
studentOf,The subject entity is a student of the object entity
endStudentOf,The subject entity no longer is a student of the object entity
superEvent,The subject entity is part of a bigger event specified by the object entity
startTerminus,The terminus of the subject entity started being the object entity
terminus,The terminus of the subject entity is the object entity
endTerminus,The terminus of the subject entity no longer is the object entity
startWorksFor,The subject entity started working for the organization specified by the object entity
worksFor,The subject entity works for the organization specified by the object entity
endWorksFor,The subject entity no longer works for the organization specified by the object entity
